Lat,Long,CATEGORIA,NOMBRE,DIRECCION
6.19062,-75.5803,BANCOS Y CORPORACIONES,BANCO GANADERO,CARRERA48 # 16SUR-129
6.19063,-75.5801,BANCOS Y CORPORACIONES,BANCO ANGLO COLOMBIANO,CARRERA48 # 15SUR-92
6.19066,-75.5802,BANCO GANADERO,BANCO GANADERO La Aguacatala,Cra. 48 No. 16 Sur-12
6.19245,-75.5799,CAJERO ELECTRONICO CONAVI,CONAVI Automall 1,Cll. 15 Sur #46-120
6.19557,-75.5752,Cajero ATH,BANCO GANADERO La Aguacatala,Cra. 43A # 9 Sur-111
6.19601,-75.5659,BANCOS Y CORPORACIONES,BANCO SANTANDER,CARRERA32 # 4SUR-80
6.1989,-75.5893,BANCOS Y CORPORACIONES,BANCAFE,CARRERA52 # 10SUR-08
6.20027,-75.5732,BANCO GANADERO,Granahorrar Oviedo,Calle 4 Sur No.43a-16
6.20092,-75.5725,Cajero ATH,BANCO OCCIDENTE Poblado 24 Horas,Cra. 43A # 3 Sur -10
6.20214,-75.572,CAJERO ELECTRONICO BANCO GANADERO,BANCO BOGOTA El Poblado,Cra. 43a No. 1 Sur-27
6.20627,-75.5715,BANCOS Y CORPORACIONES,BANCO DE CREDITO,CALLE7 # 39-215
6.20627,-75.5715,CAJERO ELECTRONICO Granahorrar,Granahorrar CENTRO FINANCIERO,CLLE 7 # 39-105
6.20794,-75.5872,CAJERO ELECTRONICO Cajero ATH,AV VILLAS Cristo Rey,Cll. 1Sur # 53 - 57
6.20811,-75.5862,BANCOS Y CORPORACIONES,BANCO SANTANDER,CARRERA53 # 1SUR-09
6.2089,-75.559,BANCOS Y CORPORACIONES,BANCO CAJA SOCIAL,CALLE10 # 30-30
6.20915,-75.5709,CAJERO ELECTRONICO Cajero ATH,BANCO BOGOTA El Poblado,Cra. 43A # 8-84
6.20995,-75.5687,BANCOS Y CORPORACIONES,BANCOLOMBIA,CALLE10 # 41-13
6.21009,-75.5713,CAJERO ELECTRONICO Cajero ATH,El PobladoBANCO BOGOTA,Cll. 9 # 43A-45
6.21014,-75.5764,Cajero ATH,AV VILLAS Politecnico Jaime Isaza C.,Cra. 48 # 7-151
6.21081,-75.571,Cajero Automático MEGARed,Megabanco El Poblado,Cl 10 # 43 A-06
6.21164,-75.5732,BANCOS Y CORPORACIONES,BANCOLOMBIA,CALLE10 # 43E-135
6.21277,-75.5699,CAJERO ELECTRONICO Cajero ATH,BANCO BOGOTA El Poblado,Cra. 43A # 11B - 08
6.21368,-75.5966,CAJERO ELECTRONICO Granahorrar,Granahorrar CENTRO COMERCIAL LA MOTA,DIAGONAL 75B # 2 A-67
6.21463,-75.5698,BANCOS Y CORPORACIONES,BANCO ANGLO,CALLE14 # 43-24
6.21491,-75.5761,BANCOS Y CORPORACIONES,BANCO CENTRAL HIPOTECARIO,CALLE14 # 48-38
6.21704,-75.5758,BANCOS Y CORPORACIONES,BANCAFE,CARRERA48 # 14-187
6.21744,-75.581,BANCOS Y CORPORACIONES,BANCAFE,CALLE14 # 52-27
6.21814,-75.5832,BANCOS Y CORPORACIONES,BANCOLOMBIA,CALLE14 # 52A-25
6.22053,-75.5933,BANCOS Y CORPORACIONES,DAVIVIENDA,CALLE14 # 70-53
6.22214,-75.5694,Cajero ATH,AV VILLAS San Diego,Cra. 43A # 19-115
6.22898,-75.5714,BANCOS Y CORPORACIONES,BANCO DE BOGOTA,CALLE29 # 43G-07
6.22936,-75.5721,Cajero Automático MEGARed,Megabanco La 30,Cl 29 # 44-61
6.2296,-75.5772,CAJERO ELECTRONICO Colpatria,Colpatria Medellín Guayabal,Cra 52 No. 29a-145
6.23049,-75.5745,BANCOS Y CORPORACIONES,BANCO SANTANDER,CALLE29 # 46-59
6.23153,-75.5963,CAJERO ELECTRONICO CONAVI,CONAVI Belen 1,Cra. 76 #30-78
6.23157,-75.5843,CAJERO ELECTRONICO CONAVI,CONAVI Epm Proveeduria,Calle 30 # 65-315
6.23174,-75.5799,BANCOS Y CORPORACIONES,BANCO POPULAR,CALLE30 # 55-79
6.23206,-75.5963,BANCOS Y CORPORACIONES,BANCO DE BOGOTA,CARRERA76 # 30A-02
6.23206,-75.5963,Cajero Automático MEGARed,Megabanco Belen,Cl 30A # 75-55
6.23275,-75.5964,BANCOS Y CORPORACIONES,BANCOLOMBIA,CALLE31 # 76-22
6.23279,-75.5956,BANCOS Y CORPORACIONES,BANCO GANADERO,CALLE31 # 75-50
6.23279,-75.5956,CAJERO ELECTRONICO BANCO GANADERO,Granahorrar Belén,Calle 31 No.75-50
6.2333,-75.6022,BANCOS Y CORPORACIONES,BANCOLOMBIA,CARRERA81 # 30A-99
6.23359,-75.5963,BANCOS Y CORPORACIONES,BANCO CAJA SOCIAL,CARRERA76 # 31-33
6.23405,-75.5701,CAJERO ELECTRONICO Cajero ATH,AV VILLAS Casino Caribe San Diego,Cra. 43A # 33 - 58
6.23444,-75.5874,Cajero Automático MEGARed,Megabanco Unicentro,Cra 66 B # 31 A-76
6.23445,-75.5703,CAJERO ELECTRONICO CONAVI,CONAVI Almacentro 1,Cra. 43A #34-13
6.2345,-75.6022,BANCOS Y CORPORACIONES,BANCO SUPERIOR,CARRERA81 # 32-50
6.23461,-75.5701,BANCOS Y CORPORACIONES,BANCAFE,CALLE34 # 43-66
6.23461,-75.5701,BANCOS Y CORPORACIONES,BANCO DE BOGOTA,CALLE34 # 43-66
6.23461,-75.5701,BANCOS Y CORPORACIONES,BANCO SANTANDER,CALLE34 # 43-66
6.23461,-75.5701,BANCOS Y CORPORACIONES,BANCOLOMBIA,CALLE34 # 43-66
6.23461,-75.5701,Cajero ATH,AV VILLAS San Diego,Cll. 34 # 43-66
6.235,-75.6022,BANCOS Y CORPORACIONES,BANCAFE,CARRERA81 # 32-98
6.2368,-75.5695,BANCOS Y CORPORACIONES,BANCO SUPERIOR,CARRERA43 # 36-35
6.23735,-75.5709,BANCOS Y CORPORACIONES,BANCO SUDAMERIS COLOMBIA,CALLE37 # 45-37
6.23807,-75.5725,BANCOS Y CORPORACIONES,BANCO GANADERO,CARRERA50 # 36-08
6.23807,-75.5725,BANCOS Y CORPORACIONES,BANCO GANADERO,CARRERA50 # 36-54
6.23807,-75.5725,BANCO GANADERO,BANCO POPULAR Palace,Cra. 50 No. 36-08
6.23819,-75.5726,BANCOS Y CORPORACIONES,BANCO SANTANDER,CALLE37 # 50-40
6.23897,-75.593,Cajero ATH,BANCO POPULAR Laureles,Cll. 33 # 74B - 298
6.23983,-75.5874,Cajero ATH,AV VILLAS Unicentro,Cll. 34 66A-79
6.23984,-75.6029,Cajero ATH,AV VILLAS Santa Gema,Cra. 81 # 33-55
6.24054,-75.5969,BANCOS Y CORPORACIONES,BANCO ANGLO,CARRERA76 # 33A-83
6.24059,-75.5969,BANCOS Y CORPORACIONES,BANCO COLPATRIA,CARRERA76 # 34-16
6.2422,-75.5726,BANCOS Y CORPORACIONES,BANCO GANADERO,CALLE41 # 52-28
6.2422,-75.5726,BANCO GANADERO,BANCO GANADERO La Alpujarra,Calle 41 No. 52-28
6.24242,-75.5739,BANCOS Y CORPORACIONES,BANCO AGRARIO DE COLOMBIA,CALLE41 # 52-117
6.24243,-75.597,CAJERO ELECTRONICO Colpatria,Colpatria Medellín Laureles,Cra 76 # 35-20
6.24279,-75.5714,CAJERO ELECTRONICO CONAVI,CONAVI Bolivar 3,Cra. 51 #41-156
6.243,-75.5713,BANCOS Y CORPORACIONES,BANCOLOMBIA,CARRERA51 # 41-190
6.24309,-75.5715,BANCOS Y CORPORACIONES,BANCO DE BOGOTA,CARRERA51 # 41-159
6.24309,-75.5715,CAJERO ELECTRONICO Cajero ATH,BANCO BOGOTA Carrera Bolivar,Cra. 51 # 41 - 159
6.24315,-75.5714,CAJERO ELECTRONICO CONAVI,CONAVI Bolivar 1,Cra. 51 #41-155
6.24329,-75.5733,BANCOS Y CORPORACIONES,BANCO POPULAR,CALLE42 # 52-186
6.24329,-75.5733,CAJERO ELECTRONICO Cajero ATH,BANCO POPULAR Alpujarra,Cll. 42 # 52-186
6.24362,-75.5702,BANCOS Y CORPORACIONES,BANCO POPULAR,CARRERA50 # 42-25
6.24362,-75.5702,Cajero ATH,BANCO POPULAR Palace,Cra 50 # 42-25
6.24379,-75.5942,CAJERO ELECTRONICO CONAVI,CONAVI Avda Nutibara 1,Transv. 39 B #73-49
6.24379,-75.5942,CAJERO ELECTRONICO CONAVI,CONAVI Avda Nutibara 2,Transv. 39 B #73-49
6.24408,-75.5719,BANCOS Y CORPORACIONES,BANCO POPULAR,CARRERA52 # 42-43
6.24459,-75.5602,CAJERO ELECTRONICO CONAVI,CONAVI Buenos Aires,Cll. 49 #39-64
6.24462,-75.5642,BANCOS Y CORPORACIONES,BANCO CAJA SOCIAL,CARRERA43 # 47-58
6.24469,-75.6005,BANCOS Y CORPORACIONES,BANCO SANTANDER,CALLE37 # 80-36
6.24502,-75.6027,BANCOS Y CORPORACIONES,BANCO GANADERO,CALLE37 # 80B-49
6.24502,-75.6027,CAJERO ELECTRONICO BANCO GANADERO,BANCO GANADERO Carrera 80,Calle 37 No. 80b-49
6.2454,-75.5638,CAJERO ELECTRONICO CONAVI,CONAVI Comfama San Ignacio 1,Cll. 48 #43-80
6.2458,-75.5647,CAJERO ELECTRONICO CONAVI,CONAVI Comfama San Ignacio 2,Cll. 48 #43-81
6.24596,-75.5708,BANCOS Y CORPORACIONES,BANCO DE BOGOTA,CALLE45 # 51-41
6.24677,-75.5892,BANCOS Y CORPORACIONES,BANCO DE OCCIDENTE,CARRERA70 # 4-25
6.24704,-75.5891,BANCOS Y CORPORACIONES,BANCAFE,CARRERA70 # 5-04
6.24721,-75.6025,BANCOS Y CORPORACIONES,BANCO DE BOGOTA,CARRERA81 # 40-32
6.24721,-75.6025,Cajero ATH,BANCO BOGOTA Medellin America,Cra. 81 # 40-32
6.24752,-75.6026,BANCOS Y CORPORACIONES,BANCAFE,CARRERA81 # 37D-113
6.24771,-75.5711,BANCOS Y CORPORACIONES,BANCOLOMBIA,CALLE46 # 52A-22
6.24788,-75.5657,BANCOS Y CORPORACIONES,BANCO UNION COLOMBIANO,CARRERA46 # 49-19
6.24789,-75.589,BANCOS Y CORPORACIONES,BANCO UNION COOPERATIVA NACIONAL,CARRERA70 # 42-37
6.2482,-75.589,BANCOS Y CORPORACIONES,BANCO GANADERO,CARRERA70 # 42-42
6.2482,-75.589,CAJERO ELECTRONICO BANCO GANADERO,BANCO GANADERO Carrera 70,Cra. 70 No. 42-42
6.24842,-75.5639,CAJERO ELECTRONICO CONAVI,CONAVI Comfama D,Cra. 45 #50-33
6.2488,-75.5635,BANCOS Y CORPORACIONES,BANCO CENTRAL HIPOTECARIO,CALLE52 # 43-106
6.2491,-75.5648,BANCOS Y CORPORACIONES,BANCO POPULAR,CARRERA46 # 50-77
6.2491,-75.5648,Cajero ATH,BANCO POPULAR La Playa,Cra. 46 # 50 - 77
6.24912,-75.588,BANCOS Y CORPORACIONES,BANCO GANADERO,CALLE44 # 69-96
6.24912,-75.588,BANCO GANADERO,BANCO GANADERO San Juan La 70,Calle 44 No. 69-86
6.24914,-75.5889,CAJERO ELECTRONICO Granahorrar,Granahorrar CANDELARIA LA 70,CARRERA 70 # 43-31
6.2492,-75.5888,BANCOS Y CORPORACIONES,BANCO DE BOGOTA,CARRERA70 # 44-42
6.2492,-75.5888,CAJERO ELECTRONICO Cajero ATH,BANCO GANADERO Carrera 70,Cra. 70 # 44-42
6.24921,-75.5645,BANCOS Y CORPORACIONES,BANCO SANTANDER,CALLE52 # 45-90
6.24946,-75.5731,BANCOS Y CORPORACIONES,BANCO DE OCCIDENTE,CARRERA55 # 46-77
6.24962,-75.5925,BANCOS Y CORPORACIONES,BANCO SANTANDER,CALLE44 # 73-48
6.24962,-75.5924,BANCOS Y CORPORACIONES,BANCOLOMBIA,CALLE44 # 73-38
6.2498,-75.5888,BANCOS Y CORPORACIONES,BANCO COOPDESARROLLO,CARRERA70 # 44A-13
6.2498,-75.5888,Cajero Automático MEGARed,Megabanco La Setenta,Cra 70 # 44 A-13
6.24987,-75.5643,BANCOS Y CORPORACIONES,BANCO CAJA SOCIAL,CARRERA46 # 52-130
6.24992,-75.5697,BANCOS Y CORPORACIONES,BANCO AGRARIO DE COLOMBIA,CARRERA52 # 49-66
6.24994,-75.5642,BANCOS Y CORPORACIONES,BANCO CAJA SOCIAL,CARRERA46 # 52-140
6.25012,-75.5643,BANCOS Y CORPORACIONES,BANCOLOMBIA,CARRERA46 # 52-103
6.25047,-75.5765,BANCOS Y CORPORACIONES,BANCOLOMBIA,CALLE48 # 59-09
6.25052,-75.564,BANCOS Y CORPORACIONES,BANCO COOPERATIVO DE COLOMBIA,CARRERA46 # 53-07
6.25056,-75.6047,BANCOS Y CORPORACIONES,BANCO AGRARIO DE COLOMBIA,CALLE44 # 84-11
6.25061,-75.6046,Cajero ATH,AV VILLAS La America,Cll. 44 # 84 - 05
6.25066,-75.6053,BANCOS Y CORPORACIONES,BANCOLOMBIA,CALLE44 # 84-45
6.25082,-75.6058,CAJERO ELECTRONICO CONAVI,CONAVI America 1,Cra. 86A #43-77
6.2509,-75.6055,Cajero Automático MEGARed,Megabanco  América,Cl 44 # 86-70
6.2513,-75.5636,CAJERO ELECTRONICO Granahorrar,Granahorrar AVENIDA ORIENTAL,CRA 46 # 54 - 24
6.25158,-75.5655,BANCOS Y CORPORACIONES,BANCO SANTANDER,CALLE53 # 49-02
6.25187,-75.566,BANCOS Y CORPORACIONES,BANCO DE BOGOTA,CALLE53 # 49-56
6.25205,-75.5648,BANCOS Y CORPORACIONES,BANCOLOMBIA,CALLE54 # 47-49
6.25277,-75.5988,CAJERO ELECTRONICO CONAVI,CONAVI Comfama America,Cr.79B # 45-90
6.25338,-75.5639,BANCOS Y CORPORACIONES,BANCO GANADERO,CALLE56 # 47-32
6.2537,-75.5723,Cajero ATH,AV VILLAS San Buenaventura,Cra. 56 C # 51-90
6.25443,-75.6196,BANCOS Y CORPORACIONES,DAVIVIENDA,CALLE40 # 101A-247
6.25461,-75.564,BANCOS Y CORPORACIONES,BANCOLOMBIA,CARRERA49 # 57-51
6.25484,-75.5565,CAJERO ELECTRONICO CONAVI,CONAVI Clinica El Rosario,Cra.41# 62-05
6.25548,-75.5827,BANCOS Y CORPORACIONES,BANCOLOMBIA,CARRERA66 # 49-01
6.2555,-75.5814,BANCO GANADERO,BANCO GANADERO Exito,Calle 49b No. 64c-61
6.25555,-75.5814,BANCOS Y CORPORACIONES,BANCO CAJA SOCIAL,CARRERA65 # 49B-20
6.25566,-75.5817,CAJERO ELECTRONICO Colpatria,Colpatria Medellín Exito,Calle 49b No. 65-36
6.25577,-75.5804,BANCOS Y CORPORACIONES,BANCO DE OCCIDENTE,CALLE50 # 64C-08
6.25604,-75.5824,Cajero ATH,AV VILLAS Los Sauces,Cra. 66 # 49B-20
6.25693,-75.5832,CAJERO ELECTRONICO Cajero ATH,BANCO OCCIDENTE Calle Colombia,Cll. 50 # 67-19
6.25696,-75.6148,Cajero ATH,AV VILLAS San Javier 1,Cll. 45 # 98-80
6.25743,-75.5981,CAJERO ELECTRONICO CONAVI,"CONAVI Carrera 80 ""D""",Cra. 80 #47-96
6.25743,-75.5981,CAJERO ELECTRONICO CONAVI,CONAVI Carrera 80 1,Cra. 80 #47-96
6.25743,-75.5981,CAJERO ELECTRONICO CONAVI,CONAVI Carrera 80 2,Cra. 80 #47-96
6.25797,-75.5851,BANCOS Y CORPORACIONES,BANCO DE BOGOTA,CALLE50 # 69-06
6.25984,-75.5904,BANCOS Y CORPORACIONES,BANCO DE BOGOTA,CARRERA74 # 49-117
6.25984,-75.5904,CAJERO ELECTRONICO Cajero ATH,BANCO BOGOTA Estadio - Medellin,Cra. 74 # 49-117
6.26005,-75.5975,BANCOS Y CORPORACIONES,BANCO SANTANDER,CARRERA80 # 48B-68
6.26033,-75.5903,CAJERO ELECTRONICO CONAVI,CONAVI Estadio 1,Cra. 74 #49B-35
6.26035,-75.5902,Cajero Automático MEGARed,Megabanco Diamante,Cra 74 # 49 B-05
6.26042,-75.5647,CAJERO ELECTRONICO CONAVI,CONAVI Comfama Prado,Cr.51 #61-77
6.26066,-75.5967,BANCOS Y CORPORACIONES,BANCOLOMBIA,CALLE49 # 79-60
6.26111,-75.5974,CAJERO ELECTRONICO Cajero ATH,AV VILLAS Calazans,Cra. 80 # 49 - 29
6.26165,-75.5971,BANCOS Y CORPORACIONES,BANCO CAJA SOCIAL,CARRERA80 # 49-85
6.26167,-75.5972,BANCOS Y CORPORACIONES,BANCAFE,CARRERA80 # 49-75
6.26174,-75.5663,BANCOS Y CORPORACIONES,BANCO SANTANDER,CALLE64 # 51D-72
6.26215,-75.597,CAJERO ELECTRONICO Granahorrar,Granahorrar CALASANZ,CRA 80 # 49A -82
6.26474,-75.5458,BANCOS Y CORPORACIONES,DAVIVIENDA,CALLE70 # 32-35
6.26929,-75.5549,Cajero Automático MEGARed,Megabanco Manrique,Cra 45 # 73-53
6.26935,-75.5741,BANCO GANADERO,BANCO GANADERO Fadegán,Cra. 64c No. 67-392
6.26965,-75.5663,BANCOS Y CORPORACIONES,BANCO COLPATRIA,CALLE73 # 52-40
6.27689,-75.5873,BANCOS Y CORPORACIONES,DAVIVIENDA,CARRERA75 # 75-50
6.2794,-75.5721,Cajero ATH,BANCO BOGOTA Terminal De Transporte Medellin,Cra. 64C # 78-580
6.28178,-75.586,CAJERO ELECTRONICO CONAVI,CONAVI Cardiovascular,Cll. 78 B #75-21
6.28528,-75.5845,Cajero ATH,AV VILLAS Lopez De Mesa,Cra. 80 # 80A - 02
6.29189,-75.572,BANCOS Y CORPORACIONES,BANCO CAJA SOCIAL,CARRERA68 # 96-86
6.29228,-75.5718,Cajero Automático MEGARed,Megabanco Castilla,Cra 68 # 96-101
